INFO:root:2017-03-24 00:00:00.000000 | Total BTC: 0.71016826832454 | Total rand: R9460.86
INFO:root:2017-03-25 00:00:00.000000 | Total BTC: 0.8552502557900801 | Total rand: R10512.74
INFO:root:2017-03-26 00:00:00.000000 | Total BTC: 0.8085101106653001 | Total rand: R10098.29
INFO:root:2017-03-27 00:00:00.000000 | Total BTC: 0.8026329211781601 | Total rand: R10348.35
INFO:root:2017-03-28 00:00:00.000000 | Total BTC: 0.74367526118652 | Total rand: R10409.22
INFO:root:2017-03-29 00:00:00.000000 | Total BTC: 0.75778508597174 | Total rand: R10757.52
INFO:root:2017-03-30 00:00:00.000000 | Total BTC: 0.7887295918673601 | Total rand: R11436.58
INFO:root:2017-03-31 00:00:00.000000 | Total BTC: 0.8026645751669199 | Total rand: R11860.17
INFO:root:2017-04-01 00:00:00.000000 | Total BTC: 0.7581703511178601 | Total rand: R11675.07
INFO:root:2017-04-02 00:00:00.000000 | Total BTC: 0.76666001271032 | Total rand: R11732.96
INFO:root:2017-04-03 00:00:00.000000 | Total BTC: 0.74118754576356 | Total rand: R11529.17
INFO:root:2017-04-04 00:00:00.000000 | Total BTC: 0.69011896004046 | Total rand: R11491.17
INFO:root:2017-04-05 00:00:00.000000 | Total BTC: 0.70093240648216 | Total rand: R11397.16
INFO:root:2017-04-06 00:00:00.000000 | Total BTC: 0.7320168810604001 | Total rand: R11979.46
INFO:root:2017-04-07 00:00:00.000000 | Total BTC: 0.67847522228632 | Total rand: R11358.35
INFO:root:2017-04-08 00:00:00.000000 | Total BTC: 0.6650728755792601 | Total rand: R11298.92
INFO:root:2017-04-09 00:00:00.000000 | Total BTC: 0.69697829339692 | Total rand: R11767.78
INFO:root:2017-04-10 00:00:00.000000 | Total BTC: 0.6715537117121201 | Total rand: R11466.78
INFO:root:2017-04-11 00:00:00.000000 | Total BTC: 0.6801645020213001 | Total rand: R11643.74
INFO:root:2017-04-12 00:00:00.000000 | Total BTC: 0.6709060519773601 | Total rand: R11571.79
INFO:root:2017-04-13 00:00:00.000000 | Total BTC: 0.7092763530595 | Total rand: R12053.44
INFO:root:2017-04-14 00:00:00.000000 | Total BTC: 0.74963971472412 | Total rand: R12241.62
INFO:root:2017-04-15 00:00:00.000000 | Total BTC: 0.7275424753463801 | Total rand: R12085.21
